Name;Type;Units  or  mass;Status;Launched;NORAD  ID;Deployer;Launcher;Organisation;Institution;Entity;Nation;Manufacturer;Operator;Launch  brokerer;Costs;Oneliner;Failure  cause;Keywords;Images
                                        ;?;?;['https://dl.airtable.com/hmoT7pH1ReiO2mymqjRv_Genesat-1_1.jpg']
PehuenSat  1;Nanosatellite;6  kg;Was  operational  until  2007-02-01.  Reports  on  website  end  during  that  time.;2007-01-10;29712;Custom;PSLV;National  University  of  Comahue;University;Academic  /  Education;Argentina;?;?;?;?;Educational  space  systems  engineering.;?;?;['https://dl.airtable.com/i7ZHhD8RMaLrVu8FGd3g_PehuensatBanderasDSC_0001_(873298362).jpg',  'https://dl.airtable.com/QwrTWU5EQCChTdDLSJAz_Pehuensat_Cercam_no.jpg']
AeroCube-2;CubeSat;1U;Was  operational  until  2007-04-18.;2007-04-17;31133;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;The  Aerospace  Corporation;Non-profit;Government  (Civil  /  Military);US;?;?;Cal  Poly;?;Demonstrate  CubeSat  platform  technologies  and  CMOS  camera.;Solar  charging  problem.;?;['https://dl.airtable.com/RaSUEGxzSFNcCfJGu56n_AeroCube-2.png',  'https://dl.airtable.com/.attachments/17c439ed2e145d9cae148f0aecf989be/92f25b05/AeroCube-2_2.jpg',  'https://dl.airtable.com/.attachments/c5f13ddb124c974e9b14730ed9537090/86c76ccf/AeroCube-2.jpg',  'https://dl.airtable.com/.attachments/ae1ad0c61d475023c92eda8f938beb05/f675d5ec/AeroCube-2_Space.jpg']
CAPE-1;CubeSat;1U;Was  operational  until  XXXX-XX-XX,  unknown  time.;2007-04-17;31130;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;University  of  Louisiana  at  Lafayette;University;Academic  /  Education;US;?;?;Cal  Poly;?;Educational  space  systems  engineering.;?;?;['https://dl.airtable.com/1Ma7N1CT3SwHkuIglJw6_cape-1__1.jpg']
CP3;CubeSat;1U;Was  operational  until?  (Official  website  claims  it  was  operational,  Skyrocket  and  DK3WN  claim  no  sigmals.;2007-04-17;31129;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;California  Polytechnic  University;University;Academic  /  Education;US;?;?;Cal  Poly;?;Educational  space  systems  engineering  with  focus  on  ADCS.;?;?;['https://dl.airtable.com/0q5ZNDs1QISMsO65K89L_CP3.png']
CP4;CubeSat;1U;Was  operational  until?  Unkown  time  (Official  website);2007-04-17;31132;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;California  Polytechnic  University;University;Academic  /  Education;US;?;?;Cal  Poly;?;Demonstrate  CubeSat  platform  technologies  and  energy  dissipation  experiment.  Backup  model  of  CP2.;C&DH  processor  lock-up  issue.;?;['https://dl.airtable.com/9VKxBn3JRsKZ7JJjMPND_CP4.jpg']
CSTB-1  (CubeSat  TestBed  1);CubeSat;1U;Was  operational  until  2009-11-XX.  Retired.;2007-04-17;31122;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;Boeing;Company;Commercial;US;?;?;Cal  Poly;?;Demonstrate  CubeSat  platform  technologies.;?;?;['https://dl.airtable.com/eUttJgK2RXeYK5qsCRws_CSTB-1.png']
Libertad-1;CubeSat;1U;Was  operational  until  2007-05-07.  DK3WN  reports  end  there  and  show  increasing  problems.  Written  in  Wiki  that  it  was  working  over  2  years?  Skyrocket  claims  nothing  heard,  but  seems  wrong.;2007-04-17;31128;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;Sergio  Arboleda  University;University;Academic  /  Education;Colombia;?;?;Cal  Poly;?;Educational  space  systems  engineering  and  transmission  of  Colombian  national  anthem.;?;?;['https://dl.airtable.com/PSnhuQL5TbWVm6RIr44A_libertad-1__1.jpg',  'https://dl.airtable.com/.attachments/90965577b2bf91730102cf9ce976149d/220b9fe0/Libertad-1.jpeg',  'https://dl.airtable.com/.attachments/6ba243f8d5a90a4568dc2ddfa425a486/529e97b8/Libertad-1_2.jpg']
MAST  (Multi-Application  Survivable  Tether);CubeSat;3U;Was  semi-operational,  communication  was  achieved  with  one  of  three  picosats.;2007-04-17;31126;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;Tethers  Unlimited;Company;Commercial;US;?;?;Cal  Poly;?;3  tethered  CubeSats  with  1  km  tether  and  middle  one  will  crawl.;?;Tether;['https://dl.airtable.com/.attachments/124fbb96306fbb52f4096072390c2506/1e93167e/MAST_Lineup.jpg']
MEMS-Pico  (ZDPS-1,  Zheda  Pixing,  MEMS);Nanosatellite;1  kg;No  signal  assumed  because  ZDPS-1A  was  considered  as  the  first  successfully  operated  Chinese  nanosatellite.;2007-05-25;38262?;Custom;Long  March  2D;Zhejiang  University;University;Academic  /  Education;China;?;?;?;?;Educational  space  systems  engineering.;?;?;['https://dl.airtable.com/sPk9jhk3TJ6J1v7MGnzB_ZDPS-1.png']
